Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12
34,NaN,NaN,1,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,0.117317433699686,-0.456175222908553,-0.478665131010837,-0.669829349880251,-0.647339441777967,1.60165136845042,0.679565136256784,1.10687339020018,-0.309990820243708,0.555870641694222,2.29883851962122,2.19763393316095
35,NaN,NaN,1,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,-0.240194553719379,-0.542645041991473,-0.50231831022186,-0.865258896148373,-0.703951969069923,0.273971276343181,0.30421632517039,0.909117301714578,-0.17970445606496,0.415114837536825,0.62683017932729,1.06034254585063
36,NaN,NaN,1,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.278504948900511,-0.497781552897779,-0.527018433430748,-0.877860999826377,-0.717058156895047,-0.322360269699964,0.17466669936051,0.569364586555593,-0.410070911298871,-0.0299914643702735,0.203903579893479,0.759404310019891
37,NaN,NaN,1,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.344952404657259,-0.557584263078852,-0.581505347151281,-0.908426829474481,-0.714400258664777,-0.259899661288621,-0.0206888205643288,0.266364188304822,-0.28647864359132,0.0298112458107996,0.080311312185928,1.32420768395225
38,NaN,NaN,1,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.133403393662812,-0.577370838793083,-0.609856261607493,-0.804768798493954,-0.663998632964844,-0.328315930549273,0.408020319910689,0.278078628653049,-0.230859662106043,0.375534897096279,0.126479988852468,1.39341147861446
39,NaN,NaN,1,NaN,NaN,0,0,1,NaN,1,NaN,-0.457027113366973,-0.585492194496686,-0.620930837566951,-0.857926763099352,-0.789264392150713,-0.335206777812936,0.278324730341037,0.825408782738261,-0.248825085329163,0.331482694946435,0.160934225170782,0.902930814454467
40,NaN,NaN,1,NaN,NaN,1.05,0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.417577677922201,-0.607222308406325,-0.678339044837871,-0.820572517700964,-0.828474377304469,-0.306951643473129,0.230374809565221,0.206669230754706,-0.291147924266119,0.254080388375737,0.0644357578916131,1.05216820832976
41,NaN,NaN,1,NaN,NaN,2.8,0.0488497697956133,0.998806137341434,NaN,1,NaN,0.0451405193249144,-0.495401806807886,-0.525998542249365,-0.896559004818392,-0.719777866712067,-0.339018492329214,0.507491188218379,0.405502070080115,-0.335618855057939,0.466695540963073,-0.281224658717531,1.74495915496265
42,NaN,NaN,1,NaN,NaN,3.64,0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.273888599342673,-0.535481740953449,-0.512399993164263,-0.927871453369613,-0.697053975477752,-0.320052094921046,0.564748236997755,0.526278657349112,-0.181561608185929,0.664769144084228,-0.0738467851697271,1.2187310910247
43,NaN,NaN,1,NaN,NaN,6.3,0.109734311091045,0.99396095545518,NaN,1,NaN,-0.328819580515388,-0.580392738589773,-0.587192013132324,-0.92035646571732,-0.804768798493954,-0.288023933260082,0.521089737303481,0.432699168250319,-0.233629736919674,0.582283208186439,-0.41721014956855,0.908648386228885
44,NaN,NaN,1,NaN,NaN,18.2,0.312334918512233,0.949972051524652,NaN,1,NaN,-0.358094234795815,-0.520521348867866,-0.423065080424636,-0.837254221308364,-0.626098973014699,-0.479914570349853,0.55961895971127,0.315978288603194,-0.366215590499418,1.37175453007152,-0.788526087086749,1.52606028843997
45,NaN,NaN,1.25,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,0.420931193080519,-0.295934627679781,-0.324047012807636,-0.563002286394402,-0.534889901266547,2.27634861151894,1.12374082127689,1.65787613870613,-0.113204124348724,0.969122703073689,3.14783255048244,3.0213268174071
46,NaN,NaN,1.25,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,-0.0259587911933123,-0.40402190153343,-0.353613486821414,-0.807289219229555,-0.605655560381492,0.616748496384887,0.654554807418899,1.41068102809913,0.0496538308747111,0.793177947876942,1.05782212511502,1.59971258326919
47,NaN,NaN,1.25,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.0738467851697271,-0.347942540166312,-0.384488640832524,-0.82304184882706,-0.622038295162897,-0.128665936169044,0.492617775156549,0.985990134150402,-0.238304238167678,0.236795070493069,0.52916387582276,1.22353978848078
48,NaN,NaN,1.25,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.156906104865662,-0.422695927892654,-0.45259728298319,-0.86124913588719,-0.61871592237506,-0.0505901756548653,0.2484233752505,0.607239636336939,-0.0838139035332392,0.311548458219411,0.374673541188321,1.92954400589622
49,NaN,NaN,1.25,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,0.107530158877396,-0.447429147535443,-0.488035926053456,-0.731676597161531,-0.555713890250143,-0.13611051223068,0.784309800844273,0.621882686772222,-0.0142901766766421,0.74370302232626,0.432384387021497,2.01604874922399
50,NaN,NaN,1.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.296999490752805,-0.457580842164946,-0.501879146002778,-0.798124052918279,-0.71229608923248,-0.144724071310258,0.622190313882207,1.30604537937874,-0.0367469557055429,0.688637769638955,0.475452182419389,1.40294791902399
51,NaN,NaN,1.25,NaN,NaN,1.05,0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.247687696446841,-0.484743484551995,-0.573639405091428,-0.751431246170294,-0.761308570674676,-0.1094051533855,0.562252912912438,0.532620939399294,-0.0896505043767375,0.591884886425582,0.354829098320427,1.58949466136811
52,NaN,NaN,1.25,NaN,NaN,2.8,0.0488497697956133,0.998806137341434,NaN,1,NaN,0.330710050112054,-0.344967857553946,-0.383213776855795,-0.846414355067079,-0.625437932434173,-0.149488714455606,0.908648386228885,0.781161988556055,-0.145239167866512,0.857653827159753,-0.0772464224410026,2.45548334465922
53,NaN,NaN,1.25,NaN,NaN,3.64,0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.0680763482224305,-0.395067775235901,-0.366215590499418,-0.885554915756105,-0.597033068391279,-0.125780717695396,0.980219697203105,0.932132722642301,0.0473323907235,1.1052458310612,0.181975919493752,1.79769826473678
54,NaN,NaN,1.25,NaN,NaN,6.3,0.109734311091045,0.99396095545518,NaN,1,NaN,-0.136740074688323,-0.451206522281305,-0.459705615459493,-0.876161181190739,-0.731676597161531,-0.0857455156191913,0.925646572585262,0.815158361268809,-0.0177527701936818,1.00213841118896,-0.247228286004776,1.41009488374202
55,NaN,NaN,1.25,NaN,NaN,18.2,0.312334918512233,0.949972051524652,NaN,1,NaN,-0.173333392538858,-0.376367285128921,-0.254546949574883,-0.772283375679544,-0.508339315312462,-0.325608811981405,0.973808100594998,0.669257261709903,-0.183485087168361,1.98897756354531,-0.711373207902525,2.18185976150587
56,NaN,NaN,1.5,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,0.724544952461352,-0.135694032451008,-0.169428894604434,-0.456175222908554,-0.422440360755128,2.95104585458746,1.567916506297,2.20887888721209,0.0835825715462602,1.38237476445316,3.99682658134366,3.84501970165324
57,NaN,NaN,1.5,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,0.188276971332754,-0.265398761075387,-0.204908663420968,-0.749319542310737,-0.507359151693062,0.959525716426593,1.00489328966741,1.91224475448369,0.279012117814382,1.17124105821706,1.48881407090276,2.13908262068776
58,NaN,NaN,1.5,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,0.130811378561056,-0.198103527434846,-0.241958848234299,-0.768222697827743,-0.527018433430748,0.0650283973618759,0.810568850952587,1.40261568174521,-0.0665375650364847,0.503581605356412,0.854424171752041,1.68767526694166
59,NaN,NaN,1.5,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,0.0311401949259346,-0.287807592706455,-0.323689218815099,-0.814071442299899,-0.523031586085343,0.158719309978891,0.517535571065329,0.948115084369056,0.118850836524842,0.593285670628022,0.669035770190714,2.5348803278402
60,NaN,NaN,1.5,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,0.348463711417604,-0.317487456277803,-0.366215590499418,-0.658584395829109,-0.447429147535443,0.0560949060879133,1.16059928177786,0.965686744891395,0.202279308752759,1.11187114755624,0.738288785190525,2.63868601983352
61,NaN,NaN,1.5,NaN,NaN,0,0,1,NaN,1,NaN,-0.136971868138638,-0.329669489833206,-0.382827454438605,-0.738321342737206,-0.635327786314247,0.0457586351924191,0.966055897423377,1.78668197601921,0.175331173918077,1.04579284433148,0.789970139667995,1.90296502359352
62,NaN,NaN,1.5,NaN,NaN,1.05,0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.0777977149714798,-0.362264660697665,-0.468939765344985,-0.682289974639624,-0.694142764044882,0.0881413367021287,0.894131016259654,0.858572648043881,0.111846915512644,0.929689384475428,0.645222438749242,2.12682111440646
63,NaN,NaN,1.5,NaN,NaN,2.8,0.0488497697956133,0.998806137341434,NaN,1,NaN,0.616279580899194,-0.194533908300006,-0.240429011462225,-0.796269705315765,-0.531097998156278,0.0400410634180013,1.30980558423939,1.15682190703199,0.0451405193249146,1.24861211335643,0.126731813835526,3.1660075343558
64,NaN,NaN,1.5,NaN,NaN,3.64,0.0634872582684061,0.997982649166588,NaN,1,NaN,0.137735902897812,-0.254653809518352,-0.220031187834572,-0.843238378142598,-0.497012161304806,0.0684906595302539,1.39569115740846,1.33798678793549,0.276226389632929,1.54572251803816,0.437798624157232,2.37666543844887
65,NaN,NaN,1.5,NaN,NaN,6.3,0.109734311091045,0.99396095545518,NaN,1,NaN,0.0553394311387409,-0.322020305972837,-0.332219217786663,-0.831965896664158,-0.658584395829109,0.116532902021699,1.33020340786704,1.1976175542873,0.198124196532311,1.42199361419148,-0.0772464224410026,1.91154138125515
66,NaN,NaN,1.5,NaN,NaN,18.2,0.312334918512233,0.949972051524652,NaN,1,NaN,0.0114274497180993,-0.232213221389976,-0.086028818725131,-0.707312530050724,-0.390579657610225,-0.171303053612957,1.38799724147873,1.02253623481661,-0.00075458383730442,2.60620059701911,-0.634220328718301,2.83765923457178
67,NaN,NaN,2,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,1.33177247122302,0.184787158006538,0.13980734180197,-0.242521095936856,-0.197541279732289,4.30044034072449,2.45626787633721,3.310884384224,0.477155963336229,2.20887888721209,5.69481464306609,5.49240547014554
68,NaN,NaN,2,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,0.616748496384887,0.0118475198406995,0.0925009833799244,-0.633380188473101,-0.310766334316201,1.64508015651001,1.70557025416443,2.9153722072528,0.737728691693725,1.92736727889729,2.35079796247823,3.21782269552489
69,NaN,NaN,2,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,0.540127706022623,0.101574498028087,0.0431007369621492,-0.658584395829109,-0.336978709966449,0.452417064423716,1.44647100254466,2.23586677693483,0.276995781225902,1.0371546750831,1.5049447636106,2.61594622386343
70,NaN,NaN,2,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,0.407232794509128,-0.0180309223340589,-0.0658730904789173,-0.719716055125317,-0.331662913505909,0.577338281246402,1.05575996269499,1.62986598043329,0.524180316641004,1.15676009544524,1.2577602281955,3.74555297172814
71,NaN,NaN,2,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,0.83033081649802,-0.0576040737625221,-0.122574919391342,-0.512399993164263,-0.230859662106043,0.440505742725099,1.91317824364502,1.65329486112974,0.63541827961156,1.8482073980162,1.35009758152858,3.88396056105257
72,NaN,NaN,2,NaN,NaN,0,0,1,NaN,1,NaN,0.183083377089698,-0.0738467851697271,-0.144724071310258,-0.61871592237506,-0.481391180477781,0.426724048197774,1.65378706450572,2.74795516930017,0.599487433165318,1.76010299371652,1.41900605416521,2.90299923273258
73,NaN,NaN,2,NaN,NaN,1.05,0.0183249313961028,0.999832084346831,NaN,1,NaN,0.261982247979242,-0.117307012989005,-0.259540485852098,-0.544007431578284,-0.559811150785294,0.483234316877386,1.55788722295409,1.51047606533306,0.514841755291407,1.60529838057512,1.22600911960687,3.20147402048316
74,NaN,NaN,2,NaN,NaN,2.8,0.0488497697956133,0.998806137341434,NaN,1,NaN,1.18741864247347,0.106333990207873,0.0451405193249144,-0.695980405813139,-0.34241812960049,0.419100619165217,2.1121199802604,1.90814174398387,0.425899893707768,2.03052868574979,0.534688286388583,4.58705591374895
75,NaN,NaN,2,NaN,NaN,3.64,0.0634872582684061,0.997982649166588,NaN,1,NaN,0.549360405138298,0.026174121916746,0.0723376174951183,-0.758605302915582,-0.296970347131859,0.457033413981554,2.22663407781916,2.14969491852187,0.734014387451787,2.4266758919921,0.94944403348419,3.53459978587304
76,NaN,NaN,2,NaN,NaN,6.3,0.109734311091045,0.99396095545518,NaN,1,NaN,0.439498442792869,-0.0636478733559007,-0.0772464224410026,-0.743575327610995,-0.512399993164263,0.521089737303481,2.13931707843061,1.96253594032428,0.629878129984296,2.26170402019652,0.262717304686545,2.91443437628141
77,NaN,NaN,2,NaN,NaN,18.2,0.312334918512233,0.949972051524652,NaN,1,NaN,0.380949134232014,0.0560949060879133,0.251007442974374,-0.577370838793083,-0.155060342205752,0.137308463123938,2.21637552324618,1.72909418103003,0.364706422824809,3.84064666396669,-0.479914570349853,4.14925818070358
