Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14
24,NaN,NaN,0.75,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.641517643607962,-0.288077767768162,-0.74862063628669,-0.458468892484319,-0.493520780997357,-0.267630832802223,-0.599650110106278,1.17631224122098,-0.38057580689979,-0.43802195751838,0.0965193423054504,-0.0777664366899335,-0.278341132070096,-0.37181283477153
25,NaN,NaN,0.75,NaN,NaN,-4,-0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.602489962184881,-0.235439081025492,-0.740729904439715,-0.430881758006465,-0.539566953986128,-0.25927355382805,-0.506198692062547,1.35384356544906,-0.348891171565667,-0.450902715160614,0.0629685184625307,-0.175376209563046,-0.240205975586003,-0.349844550477769
26,NaN,NaN,0.75,NaN,NaN,-2.5,-0.043619387365336,0.999048221581858,NaN,1,NaN,-0.599650110106278,-0.346497581956559,-0.740831327728237,-0.399075414726116,-0.549019604476334,-0.184869429368661,-0.574334857291306,1.43238576008012,-0.337734609828299,-0.406864723284569,0.120860931550616,-0.197527055776147,-0.405891059714762,-0.38349679760921
27,NaN,NaN,0.75,NaN,NaN,-0.75,-0.0130895955713444,0.999914327574007,NaN,1,NaN,-0.596329667675912,-0.166869136193518,-0.733616231018644,-0.481337503508495,-0.5564344270464,-0.250179785743381,-0.551740869325281,1.52046486454878,-0.334663824723524,-0.463736662054298,0.0642885815715953,-0.082385097213375,-0.315889593839048,-0.373385675922757
28,NaN,NaN,0.75,NaN,NaN,0,0,1,NaN,1,NaN,-0.562808785843325,-0.298130186245625,-0.739673457537115,-0.359970980544153,-0.521993861606296,-0.357497348772212,-0.468810778509562,1.56946180156992,-0.26597297321039,-0.414390879526858,0.102598160808837,-0.195474467710068,-0.326576951622948,-0.363681428202065
29,NaN,NaN,0.75,NaN,NaN,0.75,0.0130895955713444,0.999914327574007,NaN,1,NaN,-0.561494668964481,-0.467110156666353,-0.745973488456278,-0.457099678089279,-0.435648652566977,-0.344124277005155,-0.508582139342803,1.51353453322619,-0.21827826060765,-0.482840908716041,0.143529036535176,-0.105302859523527,-0.28835161064717,-0.281201268806403
30,NaN,NaN,0.75,NaN,NaN,2.5,0.043619387365336,0.999048221581858,NaN,1,NaN,-0.567676254813919,-0.192721554931617,-0.746296407120055,-0.43629448989453,-0.573581053237262,-0.179435758479095,-0.530771264668023,1.51376518941461,-0.299007926551797,-0.505675871368814,0.106946965053056,-0.0879113829172733,-0.31229372300432,-0.358055910785231
31,NaN,NaN,0.75,NaN,NaN,4,0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.627797838760687,-0.276954399107038,-0.722095680248625,-0.418401161338944,-0.518245934679113,-0.257540137624227,-0.508538803937708,1.75738285769891,-0.172949426877695,-0.453069485415391,0.0891431031402487,-0.270020734291748,-0.256153404661169,-0.30191559244208
32,NaN,NaN,0.75,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.588781919448707,-0.342655558140565,-0.738436641651145,-0.340181926368624,-0.541782915781825,-0.0841610379727173,-0.539309284009884,2.3857602863105,-0.17692222942051,-0.505915255088679,0.15330761213363,-0.0148993483583659,-0.215263521885597,-0.326576951622948
33,NaN,NaN,0.75,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.50166060844094,-0.104444818502635,-0.692031309609529,-0.43027159550272,-0.523626458575778,-0.0714960433003788,-0.523626458575778,3.04216321331279,-0.166681393884673,-0.50715207097465,0.135349045469338,0.151823433070466,-0.206952119131875,-0.190477731530747
