Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17
21,NaN,NaN,0.5,NaN,NaN,6.3,0.109734311091045,0.99396095545518,NaN,1,NaN,-0.578011993994916,-0.844902303073367,-0.460038741431253,-0.549002177790737,-0.931931751685905,-0.862308192795875,-0.922261812951179,-0.767542793195555,-0.680513344583017,-0.537398251309065,-0.562540092019354,-0.376877268312606,-0.521926349333503,-0.908723898722562,-0.931931751685905,-0.742400952485266,0.0234581953050707
22,NaN,NaN,0.5,NaN,NaN,18.2,0.312334918512233,0.949972051524652,NaN,1,NaN,-0.69682826685853,-0.97760361617146,-0.497082045199667,-0.621452334157072,-1.01340718420465,-0.849464530578982,-0.917302870010294,-0.828736149086081,-0.717556648351431,-0.542307604820542,-0.687406275270848,-0.483891256976912,-0.478238062024303,-0.857002123849128,-0.864539717119273,-0.649718308920119,0.0418558736157555
23,NaN,NaN,0.75,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,1.05453152945984,-0.00619628348142372,1.53467622076813,1.12802306384376,-0.501039281666493,-0.378553391026625,-0.564731944799225,-0.432447182908167,0.601333734092325,0.437202640634901,0.868352975687239,1.40974061231546,0.0280997658977394,-0.674969246375107,-0.768058523261407,-0.486340974789709,1.0961767322774
24,NaN,NaN,0.75,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,0.0880893672204286,-0.473351773363714,0.611075635161822,0.306000312196009,-0.652807845696545,-0.634862238463262,-0.755354172743877,-0.593843707644329,-0.0144569598269033,-0.101621337817136,0.170126428858294,0.585439053399989,-0.365678129964015,-0.891228056081592,-0.896355372433958,-0.614352973053795,0.521347598995406
25,NaN,NaN,0.75,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,0.102927509997732,-0.321319074854904,0.480406754787873,0.156375898640584,-0.715500941095936,-0.585220493778985,-0.748906183997719,-0.618625736680767,-0.0206718887388628,-0.207741248988844,0.146354325770049,0.583963007783398,-0.411513230689717,-0.905910825636096,-0.929294495667344,-0.628647309551302,0.563919862042329
26,NaN,NaN,0.75,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.117413472182425,-0.389920081678005,0.341173702373244,0.0607300071642005,-0.756789821322539,-0.691529338789618,-0.830869287981532,-0.560126475311166,-0.268218100738231,-0.260281015024768,0.11188011509541,0.496387822992086,0.0131074928834196,-0.85556244353453,-0.891720278451419,-0.661544792760978,0.367630654751456
27,NaN,NaN,0.75,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.147055057717273,-0.444083342518955,0.300018443118248,-0.0551906397373712,-0.725800890990653,-0.676806534734705,-0.832976045300538,-0.640060767542745,-0.226670886633187,-0.269540948357142,0.00605230558256311,0.333702063044212,-0.511450582370882,-0.845224634364525,-0.863597517960505,-0.826851750768544,0.551114518929979
28,NaN,NaN,0.75,NaN,NaN,0,0,1,NaN,1,NaN,-0.28628068674459,-0.646389205225804,0.108940453720053,-0.118066730265837,-0.804804290453368,-0.717431021796928,-0.789289410972318,-0.602294284595452,-0.263416653825148,-0.308328147059767,0.04933065360865,0.391474574796017,-0.488790692602507,-0.888094696088479,-0.910142156403655,-0.626791462723425,0.544990224397986
29,NaN,NaN,0.75,NaN,NaN,1.05,0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.188484108963111,-0.661856051024251,0.171408257946386,-0.15930364678126,-0.691036513206102,-0.781820173327416,-0.811000635509267,-0.574314664478697,-0.178757288235827,-0.276025495508664,0.019021399885608,0.327037389582925,-0.441381447872487,-0.836938824115357,-0.849907918418402,-0.648886956721206,0.664233841462093
30,NaN,NaN,0.75,NaN,NaN,2.8,0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.36483081921087,-0.804845811094263,-0.0313162712228206,-0.268606733937007,-0.8571618186218,-0.732911300743899,-0.789898380372109,-0.597450209824383,-0.347080745228313,-0.312514811683333,-0.0920402085315691,0.225592694314192,-0.447975902602849,-0.854359175361396,-0.868372391663415,-0.695542723938516,0.617028536350587
