Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15
21,NaN,NaN,0.5,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.627699037320707,-0.431759186545603,-0.170506052178798,-0.372977231313072,-0.26194464920718,-0.229288007411329,-0.438290514904773,-0.438290514904773,-0.653824350757388,-0.307663947721371,-0.823638888095811,0.24096763444892,0.280155604603941,0.338937559836472,0.672035306154149
22,NaN,NaN,0.5,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.641145889824881,-0.452889954766448,-0.222372483266325,-0.0994298317995935,0.188717007575559,-0.241582272558002,-0.349157092591393,-0.36836688188307,-0.445206039049777,-0.272317935424685,-0.702617215558247,0.442286226225694,0.76116872846753,0.741958939175853,1.08005123070937
23,NaN,NaN,0.75,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.566227711587341,-0.312658492937207,-0.531650090862323,-0.894715108475015,-0.935055665987537,-0.652671763399887,-0.693012320912408,-0.814033993449973,-0.883189234900009,-0.618094142674869,-0.888952171687512,-0.704538194487415,-0.468257786199789,-0.73335287842493,-0.433680165474771
24,NaN,NaN,0.75,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.656273598892076,-0.295009499025479,-0.429718146433362,-0.82159784798357,-0.88282905135079,-0.405225665086475,-0.66851983956552,-0.613411756535022,-0.864459690340624,-0.650150478555354,-0.846090329330458,-0.552180553167802,-0.0684540465667646,-0.362363822729421,0.0540083601676754
25,NaN,NaN,0.75,NaN,NaN,-6,-0.104528463267653,0.994521895368273,NaN,1,NaN,-0.600640676975574,-0.141581598016759,-0.141581598016759,-0.746195994694222,-0.85256334225785,-0.46628192215836,-0.499871610862663,-0.600640676975574,-0.874956468060719,-0.455085359256925,-0.779785683398526,-0.522264736665532,-0.035214250453131,-0.438290514904773,-0.169573005270345
26,NaN,NaN,0.75,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.659310666579091,-0.279971115478489,-0.240783145323469,-0.761199388982145,-0.780009614656554,-0.316024048021108,-0.457100740579183,-0.532341643276823,-0.886600893478211,-0.62012269642407,-0.759631870175944,-0.449263146548179,0.119746180102723,-0.524504049245819,0.274930541916605
27,NaN,NaN,0.75,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.634230365679877,-0.320726604439711,-0.218837882036657,-0.822332622423977,-0.783144652268956,-0.532341643276823,-0.461803296997786,-0.649905553741886,-0.853682998547994,-0.532341643276823,-0.861520592578998,-0.540179237307827,-0.258025852191678,-0.524504049245819,-0.0855987835095862
28,NaN,NaN,0.75,NaN,NaN,0,0,1,NaN,1,NaN,-0.659756474679937,-0.325400399045356,-0.0935082820729848,-0.627399435102396,-0.686720674327887,-0.339781305524262,-0.451233330735789,-0.530328316369776,-0.843113032285997,-0.53212592967964,-0.781994179750644,-0.386519251580709,0.0556936226456723,-0.307424265946722,0.26421676658982
29,NaN,NaN,0.75,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.600979966760466,-0.310038976215614,-0.203162693974649,-0.583167253053638,-0.464415828341454,-0.102223982969292,-0.363477117336097,-0.304101404980005,-0.767231961357524,-0.428790400927798,-0.755356818886305,0.170904293868732,0.319343574758962,0.55684642418333,0.835912272256963
30,NaN,NaN,0.75,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.546811047641754,-0.379508559672242,-0.308668767468935,-0.522695373700203,-0.40513146323514,-0.165481953440975,-0.295103700876813,-0.402117003992446,-0.629708676815836,-0.37046518194416,-0.834691905319022,0.036486815819517,0.255035110914825,0.221876059245192,0.686102782620054
