Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18,Unit_19,Unit_20,Unit_21
27,NaN,NaN,0.75,NaN,NaN,-0.75,-0.0130895955713444,0.999914327574007,NaN,1,NaN,-0.522129921901071,-0.260061250516284,-0.579101372202111,-0.400590827925517,-0.332225087564268,-0.241070767082604,-0.970305330935924,-0.639870919189888,-0.480350858346974,0.0285940976756559,-0.495543245093918,-0.366407957744893,-0.377802247805101,-0.533524211961279,-0.210685993588715,-0.708236659551137,-1.02347868455023,0.886963948878002,-0.130925963167258,-0.13852215654073,0.146335094964473
28,NaN,NaN,0.75,NaN,NaN,0,0,1,NaN,1,NaN,-0.506937535154127,-0.222536055251332,-0.463487309057866,-0.281786363564414,-0.297586445781236,-0.198835931926099,-0.921689693345703,-0.53063765847936,-0.435837165178428,-0.0763852947457286,-0.368686815756934,-0.356836754094318,-0.554337781804592,-0.803189076719538,-0.123785541396194,-0.811089117827949,-1.11129067994757,0.741268959974807,-0.226486075805537,-0.155385705829838,0.0697654657598743
29,NaN,NaN,0.75,NaN,NaN,0.75,0.0130895955713444,0.999914327574007,NaN,1,NaN,-0.803189076719538,-0.492830318889107,-0.704438562864401,-0.384674994190624,-0.478723102624087,-0.39407980503397,-1.06652378033324,-0.73265299539444,-0.62920007611763,-0.177769155637003,-0.648009697804322,-0.582176021900898,-0.662116914069342,-0.756165022502806,0.127887196771755,-0.695033752021055,-1.06182137491156,0.292471386530317,-0.205983588167042,-0.15895953395031,0.0573511154466571
30,NaN,NaN,0.75,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.685075717010452,-0.491447258470968,-0.71605627037677,-0.611496902765448,-0.565026072715972,-0.34428962998096,-0.808997930475723,-0.754781962084667,-0.491447258470968,-0.317181645785432,-0.518555242666496,-0.677330578668873,-0.580516349399131,-0.84385105301283,-0.201004570661741,-0.71218370120598,-1.06458749574784,0.279194006516181,-0.301691369102273,-0.162278878953844,0.372135666615134
31,NaN,NaN,0.75,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.643307292382649,-0.488127913467434,-0.648009697804322,-0.445806264672375,-0.426996642985682,-0.412889426720663,-0.887832374309656,-0.779677049611172,-0.62920007611763,-0.365865372503931,-0.539854373105839,-0.605688049009264,-0.826701103827904,-0.86432034720129,-0.0790186417818655,-0.558663994792532,-1.07122618575491,0.687473441950866,-0.187173966480349,-0.149554723106964,0.189018467253507
32,NaN,NaN,0.75,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.55029141928565,-0.400961373943735,-0.569559812232994,-0.319070703917524,-0.376875882759556,-0.160106462101938,-0.781512134653776,-0.434681061601587,-0.294985212733344,0.287883673923807,-0.55029141928565,-0.266082623312329,-0.34797329333854,-0.680353071680221,0.119285235634548,-0.627364991075026,-0.974196064127215,0.726239613475879,-0.338339096864868,0.018126172660993,0.331237558055331
33,NaN,NaN,0.75,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.655063305936832,-0.280634274236104,-0.173654550893039,-0.128393898709434,-0.0461018038301531,-0.239488226796463,-0.766157634023862,-0.436989254506738,-0.474020697202414,0.361244065822288,-0.585115025289443,-0.27651966949214,-0.44933306873863,-0.687980143888545,-0.0707894322939374,-0.543968977849803,-1.07886759456513,0.431192346469676,-0.29709269321196,0.00738805784137949,0.22134750452751
34,NaN,NaN,1,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.0826760682209448,0.268436869930654,0.305011134321446,0.246492311296179,0.195288341149071,1.07307068652807,-0.528882093788602,-0.543511799544918,-0.433789006372544,0.0928804008548547,-0.324066213200169,-0.302121654565694,-0.382585036225435,-0.565456358179393,0.0563061364640633,-0.609345475448343,-0.960458413599942,3.91123360325349,0.465937897640929,0.246492311296179,0.93408848184306
35,NaN,NaN,1,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.284115862865612,0.166591610627065,0.121014450386233,0.196976384120954,0.247617673277434,0.855313143155202,-0.344885409853389,-0.436039730335054,-0.400590827925517,-0.0359735459988571,-0.0207811592519129,-0.532258179732367,-0.598091855635792,-0.805721141177362,0.369156767252988,-0.582899468888847,-0.947516750815508,3.0784657371247,0.298258962433915,0.242553544361786,0.819864240745665
36,NaN,NaN,1,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.29108941743798,-0.010486864406989,-0.21770105741449,-0.0925091491391247,0.00678098501030275,0.0369997214905634,-0.869562372917253,-0.498303610445481,-0.377428664524438,0.226946065080773,-0.222018019768813,-0.196116245642875,0.0283657967819174,-0.161580546808292,-0.0148038267613119,-0.550107158697356,-1.04655782944449,1.53930262079494,0.131972893285668,0.313285312167231,0.585253940489576
