Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8
59,NaN,NaN,1.5,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,0.145568461672783,1.7543801938334,-0.543105832200589,-0.811717382508046,0.398463378717569,-0.65026469535516,1.84153606919912,1.87439812056652
60,NaN,NaN,1.5,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.0501750616895657,1.809063686425,-0.368144633813673,-0.752357866796969,0.241297046090866,-0.558043128276681,1.63241392413383,0.939063607140989
61,NaN,NaN,1.5,NaN,NaN,0,0,1,NaN,1,NaN,0.216581574963285,1.57792108810542,-0.528859761114543,-0.818627353644796,0.474531549490217,-0.65726657662795,1.76087239162452,1.54837615710233
62,NaN,NaN,1.5,NaN,NaN,1.05,0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.029355625419535,1.75186281101643,-0.515142471720254,-0.727963375813902,0.252863399574216,-0.6816979618805,1.52053574134943,1.18279821963559
63,NaN,NaN,1.5,NaN,NaN,2.8,0.0488497697956133,0.998806137341434,NaN,1,NaN,0.0110763232787858,1.3515664035057,-0.569051736651348,-0.77744725332528,0.225104151214175,-0.704227206926331,1.36283102602861,1.10937701926302
64,NaN,NaN,1.5,NaN,NaN,3.64,0.0634872582684061,0.997982649166588,NaN,1,NaN,0.208058998712395,1.58360280560601,-0.512950952112882,-0.809536605643847,0.284762184970404,-0.691925053381568,1.62451117161028,1.2052004200665
65,NaN,NaN,1.5,NaN,NaN,6.3,0.109734311091045,0.99396095545518,NaN,1,NaN,-0.0247290840261946,1.40487220651592,-0.519769013113594,-0.723336834420562,0.331514603260999,-0.653938713520459,1.49277649298938,1.03012235365537
66,NaN,NaN,1.5,NaN,NaN,18.2,0.312334918512233,0.949972051524652,NaN,1,NaN,0.250129534205424,1.15545956594767,-0.659616741594104,-0.739109134625131,0.188302117403515,-0.68611420593778,1.62799768007655,1.68540885282118
67,NaN,NaN,2,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,0.424532435484996,5.64034910102956,-0.175456932577646,-0.700447629632458,1.16088302356188,-0.257273664586188,5.21762931898542,2.83812602973699
68,NaN,NaN,2,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,0.195877950705026,2.72354934609088,-0.353890577791397,-0.714083751633882,0.726688943736056,-0.556104289422266,2.60980413329852,2.22433424550217
69,NaN,NaN,2,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,0.145324522797309,2.64140002574084,-0.334933042326003,-0.745679644076205,0.903625941413066,-0.606657717329983,2.67931509667163,2.23065342399064
70,NaN,NaN,2,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,0.518481305450688,2.66356361499818,-0.399751086380475,-0.75789982012375,0.855674528177069,-0.542629570586569,2.77977144881913,2.823587517309
71,NaN,NaN,2,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,0.257489940967556,2.73647493845365,-0.166469488531253,-0.678753799175647,0.646119418008131,-0.419667481148597,2.50094192206542,1.57647483274163
72,NaN,NaN,2,NaN,NaN,0,0,1,NaN,1,NaN,0.613165456504691,2.42828480736087,-0.380756324932414,-0.767113114972751,0.957098755873933,-0.551965412283622,2.67221987871967,2.38889156602342
73,NaN,NaN,2,NaN,NaN,1.05,0.0183249313961028,0.999832084346831,NaN,1,NaN,0.285249189327597,2.66020710457556,-0.362466605740028,-0.646227811198226,0.661541222652599,-0.584540592620357,2.35177101168621,1.90145431606777
74,NaN,NaN,2,NaN,NaN,2.8,0.0488497697956133,0.998806137341434,NaN,1,NaN,0.339158454258692,2.12647856122791,-0.434345625648154,-0.712206314546729,0.624528891505877,-0.614579586014797,2.14149805792513,1.80355938223767
75,NaN,NaN,2,NaN,NaN,3.64,0.0634872582684061,0.997982649166588,NaN,1,NaN,0.601802021503504,2.43586043069499,-0.359544579596866,-0.754992117638153,0.704072936514182,-0.59817671462178,2.49040491870069,1.93132391664231
76,NaN,NaN,2,NaN,NaN,6.3,0.109734311091045,0.99396095545518,NaN,1,NaN,0.291417911185384,2.19755296524154,-0.368635327597815,-0.640059089340439,0.766409494234976,-0.547528261473635,2.31475868053949,1.6978864947608
77,NaN,NaN,2,NaN,NaN,18.2,0.312334918512233,0.949972051524652,NaN,1,NaN,0.657896068827543,1.86500277781721,-0.555098965571828,-0.66108882294653,0.575459513091663,-0.590428918030062,2.49505359665572,2.57160182698189
