Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11
27,NaN,NaN,0.75,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.91129226275933,-0.467567439962234,-0.242107259730195,-0.242107259730195,-0.299671561066035,-0.764982996864072,-0.450777852072614,-0.877713086980091,-0.565906454744293,0.635748335641358,0.666928998864938
28,NaN,NaN,0.75,NaN,NaN,0,0,1,NaN,1,NaN,-0.88947050146862,-0.44456993722267,-0.0617485214761557,-0.136995974202743,-0.146401905793567,-0.752143900242597,-0.541451032608152,-0.904519992013938,-0.451154089336247,0.71424083476678,0.470627206564452
29,NaN,NaN,0.75,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.924723933071026,-0.38745712060319,-0.352918539801687,-0.253140417486231,-0.253140417486231,-0.752031029063508,-0.360593779979799,-0.917048692892914,-0.506423343363925,0.54508456103741,0.713939844955873
30,NaN,NaN,0.75,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.909149902030003,-0.528182276684398,-0.410818167164725,-0.408023783604733,-0.421995701404694,-0.780608258270361,-0.538428349737703,-0.912875746776659,-0.535633966177711,0.786109457698606,0.567216078832549
31,NaN,NaN,0.75,NaN,NaN,6,0.104528463267653,0.994521895368273,NaN,1,NaN,-0.90169821253669,-0.234286023135652,-0.234286023135652,-0.100803585255444,-0.163373478011792,-0.7473591437377,-0.517936203631093,-0.91421219108796,-0.275999284973217,0.762660934782149,0.791860218068444
32,NaN,NaN,0.75,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.926571676076868,-0.0915339715137632,-0.503722795893849,-0.187474473740162,-0.183921121805852,-0.613876705857493,-0.393568885930205,-0.851951285456335,-0.443315813010561,0.516089209253432,1.2125461883784
33,NaN,NaN,0.75,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.94801431705978,0.209888296017453,-0.240039576492558,-0.206956644690351,-0.127557608365055,-0.663501103560803,-0.517936203631093,-0.865306987554263,-0.570868894514624,0.907938157044013,1.71516169301785
34,NaN,NaN,1,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.725291482636537,-0.0402969291061164,0.281567981588901,0.232050303020436,0.446626910150448,-0.337403000516901,-0.320897107660747,-0.704659116566344,-0.00315867017976824,0.624065258354111,0.933550749407012
35,NaN,NaN,1,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.821315629590248,-0.205913489183074,0.20550704288689,0.0845010040427831,-0.0226757732191404,-0.631163282835222,-0.309632951049452,-0.848974152754615,-0.392608520542554,0.928085960555988,1.20121387680412
36,NaN,NaN,1,NaN,NaN,-6,-0.104528463267653,0.994521895368273,NaN,1,NaN,-0.838602206567977,-0.212828119974166,0.122531473393788,0.191677781304707,-0.112565973503334,-0.586218182693125,-0.527443820968845,-0.824772944985794,-0.264687850907355,1.06637857637782,1.23924434615512
37,NaN,NaN,1,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.851148915664717,-0.347719183551998,0.0515170999062442,0.0185053141939348,-0.0516447304447227,-0.693311315227737,-0.365256694711662,-0.885192319680536,-0.302327978197572,1.06353465564923,1.12027366234226
38,NaN,NaN,1,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.882510112091411,-0.290877015028615,0.00973655861410261,0.00973655861410261,-0.0670158431670168,-0.687431090897732,-0.268490897842455,-0.837737877719091,-0.421995701404694,1.18021068577617,1.22178490340761
39,NaN,NaN,1,NaN,NaN,0,0,1,NaN,1,NaN,-0.853414430370463,-0.260213678042531,0.250214876286156,0.149884939317372,0.137343697196274,-0.670312295402433,-0.389388471889839,-0.87348041776422,-0.268992547527299,1.28486735127674,0.960049180340299
40,NaN,NaN,1,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.900419005840339,-0.184063255883224,-0.138011814814552,-0.00497431839394531,-0.00497431839394531,-0.67016180049698,-0.148245468385368,-0.890185352269523,-0.342684886230871,1.05932565297091,1.28446603152886
41,NaN,NaN,1,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.879653631118974,-0.371696797324834,-0.21521131796527,-0.211485473218614,-0.230114696951896,-0.708264772772785,-0.385358228062574,-0.884621424114516,-0.381632383315918,1.3806921818525,1.08883434336443
42,NaN,NaN,1,NaN,NaN,6,0.104528463267653,0.994521895368273,NaN,1,NaN,-0.869718045127891,0.0201648740734938,0.0201648740734938,0.198141457913771,0.114714934238641,-0.663932620062571,-0.358035366587095,-0.886403349862917,-0.0354528083765927,1.34942748463056,1.38835986234562
43,NaN,NaN,1,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.902882663181461,0.210500942902679,-0.339084156270769,0.0825802732674799,0.0873180758465612,-0.485956036222294,-0.192212276319244,-0.80338880902075,-0.258541512426384,1.02066518392561,1.94927448942557
44,NaN,NaN,1,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.931472851158676,0.612397299610967,0.0124934695976198,0.0566040453338953,0.162469427100957,-0.552121899826707,-0.358035366587095,-0.821196411817988,-0.428612287765135,1.54313044764638,2.6194284956115
45,NaN,NaN,1.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.657204674604899,0.199038517308127,0.601369655676898,0.539472557466318,0.807693316378832,-0.172344071955354,-0.151711705885161,-0.631414217017157,0.245461340966062,1.02949125163341,1.41634811544954
46,NaN,NaN,1.25,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.777234858297037,-0.00798218278807018,0.506293482299385,0.355035933744251,0.221064962166847,-0.539544424853255,-0.137631510121042,-0.811808012252497,-0.24135097198742,1.40951712938576,1.75092702469592
47,NaN,NaN,1.25,NaN,NaN,-6,-0.104528463267653,0.994521895368273,NaN,1,NaN,-0.798843079519199,-0.016625471276935,0.402574020433008,0.489006905321656,0.108702211811605,-0.483363049675634,-0.409895097520283,-0.78155650254147,-0.081450134943421,1.58238289916305,1.79846511138467
48,NaN,NaN,1.25,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.814526465890123,-0.185239300749225,0.313806053573578,0.272541321433191,0.184853765634869,-0.617229465343899,-0.207161189698805,-0.857080720909897,-0.128500294056193,1.57882799825231,1.6497517566186
49,NaN,NaN,1.25,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.853727961423491,-0.114186590094996,0.261580376958401,0.261580376958401,0.165639874732001,-0.609879184931393,-0.0862039436122967,-0.797762668458091,-0.278084948065095,1.72467303591099,1.77664080795029
50,NaN,NaN,1.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.817358359272307,-0.0758574188623908,0.562178274048467,0.436765852837488,0.421089300186115,-0.588480690562269,-0.237325911171527,-0.842440843514503,-0.0868310057183516,1.85549386778669,1.44947115411615
51,NaN,NaN,1.25,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.876114078609651,0.0193306088367426,0.0768949101725821,0.243191780698341,0.243191780698341,-0.588292571930453,0.0641028432090621,-0.863322011646131,-0.178946429097816,1.57356674490441,1.85499221810185
52,NaN,NaN,1.25,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.850157360207945,-0.21521131796527,-0.0196044687658156,-0.0149471628324952,-0.038233692499097,-0.635921287275209,-0.232288106387445,-0.856367101452372,-0.227630800454125,1.9752749060064,1.61045260789631
53,NaN,NaN,1.25,NaN,NaN,6,0.104528463267653,0.994521895368273,NaN,1,NaN,-0.837737877719091,0.27461577128264,0.27461577128264,0.497086501082986,0.392803346489074,-0.580506096387441,-0.198134529543096,-0.858594508637873,0.205093668220032,1.93619403447898,1.9848595066228
54,NaN,NaN,1.25,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.879193650286054,0.512535857319121,-0.174445516647689,0.352635020275122,0.358557273498974,-0.358035366587095,0.00914433329171752,-0.754826332585166,-0.0737672118422079,1.52524115859778,2.68600279047273
55,NaN,NaN,1.25,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.914931385257573,1.01490630320448,0.265026515687797,0.320164735358142,0.452496462566968,-0.440742696092611,-0.198134529543096,-0.777085836081712,-0.286355681015647,2.17832273824875,3.52369529820515
56,NaN,NaN,1.5,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.589117866573261,0.43837396372237,0.921171329764896,0.8468948119122,1.16875972260722,-0.00728514339380691,0.0174736958904251,-0.55816931746797,0.494081352111893,1.43491724491271,1.89914548149206
57,NaN,NaN,1.5,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.733154087003827,0.189949123606934,0.80707992171188,0.62557086344572,0.464805697552834,-0.447925566871288,0.0343699308073672,-0.774641871750378,-0.0900934234322858,1.89094829821553,2.30064017258772
58,NaN,NaN,1.5,NaN,NaN,-6,-0.104528463267653,0.994521895368273,NaN,1,NaN,-0.759083952470421,0.179577177420296,0.682616567472227,0.786336029338605,0.329970397126544,-0.380507916658143,-0.292346374071722,-0.738340060097146,0.101787581020513,2.09838722194828,2.35768587661423
