Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13
24,NaN,NaN,0.75,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.585875695292462,-0.660351644825679,-0.442243506906972,-0.800437359423873,-0.344715477756331,0.00106571650503422,-0.312797213670666,-0.777385279806448,1.00471779830982,0.779516712816517,1.26538362167608,0.24754564472211,-0.837675334190481
25,NaN,NaN,0.75,NaN,NaN,-6,-0.104528463267653,0.994521895368273,NaN,1,NaN,-0.63197985452731,-0.727734646784304,-0.47061529720534,-0.789797938061985,-0.263146580648521,0.142924667996876,-0.275559238904058,-0.773838806019152,0.877044741967158,0.74050550115626,0.850446188562438,-0.000707520388613808,-0.837675334190481
26,NaN,NaN,0.75,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.603198855715023,-0.729416948452636,-0.31002368929855,-0.725779539440025,-0.208539977846694,0.153018478006873,-0.280560676296398,-0.736328025576598,0.866678126281216,0.313064474561771,-0.00957370485685393,-0.379134460538165,-0.784341824543068
27,NaN,NaN,0.75,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.613594187787907,-0.746493626553949,-0.419471412062229,-0.758439643521683,-0.213402619368816,0.144977889663205,-0.337342545409057,-0.756946391400716,0.87517817681595,0.340593917509851,0.104660082397103,-0.289558477538121,-0.804730459271652
28,NaN,NaN,0.75,NaN,NaN,0,0,1,NaN,1,NaN,-0.641941697563984,-0.745740930362892,-0.328698679473054,-0.781724664399847,-0.270109779182115,0.0652770752392481,-0.331466659014359,-0.752660879216153,1.07512827789174,0.198601423145402,-0.354994485115445,-0.47586292508573,-0.808020470042237
29,NaN,NaN,0.75,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.655820039430801,-0.692072882589827,-0.337425503860222,-0.791374148634116,-0.327968240427433,0.13386145720712,-0.320087187566775,-0.769307200624274,0.94403369128275,0.157504615789093,-0.151432656348696,-0.466674770775011,-0.794526569778379
30,NaN,NaN,0.75,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.621606998188651,-0.712470901758589,-0.388327833513177,-0.733610667078941,-0.307477502989722,0.131636218752346,-0.354207510539976,-0.760684401612025,0.876720228025837,0.164273049422364,-0.133908903517351,-0.433574348760248,-0.79443385150943
31,NaN,NaN,0.75,NaN,NaN,6,0.104528463267653,0.994521895368273,NaN,1,NaN,-0.580161931968485,-0.652667618286537,-0.33584929328809,-0.714139830599669,-0.132518129483117,0.237891354967804,-0.312206134706117,-0.774035832340669,0.936152638422092,0.230010302107146,-0.222362132094617,-0.460369928486485,-0.781916885201327
32,NaN,NaN,0.75,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.598288353547998,-0.7312811205716,-0.261373343754873,-0.717095225422416,0.0276642699097546,0.0897275611874354,-0.305704266096074,-0.718868462316064,0.955067165287671,0.251092118509406,-0.248960685499337,-0.458202638949804,-0.768519095338208
33,NaN,NaN,0.75,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.550664276975737,-0.60902910273238,-0.346387386827484,-0.707925057486693,-0.181020380516994,0.281034490056434,-0.312341238469442,-0.735486225205108,0.942502515298394,0.363717993211679,-0.257218903032612,-0.500405677018627,-0.754941167123989
