Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18,Unit_19,Unit_20,Unit_21,Unit_22,Unit_23,Unit_24
21,NaN,NaN,0.5,NaN,NaN,7,0.121869343405147,0.992546151641322,NaN,1,NaN,-0.668220924630056,-0.562079749058913,0.735404621284878,-0.428488269460752,-0.450448512682367,-0.357117478990501,-0.649920721945376,-0.735931674563371,-0.50168908019947,-0.620640397649889,-0.580379951743593,-0.600510174696741,-0.239996181808551,-0.527309363958022,0.632923486250672,-0.326007134426545,-0.595020113891337,-0.576719911206657,-0.51998928288415,-0.256466364224762,-0.443128431608495,-0.0734643373779653,-0.461428634293175,-0.454108553219303
22,NaN,NaN,0.5,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.712704494232816,-0.533221737133072,0.335474807229685,-0.485359668573141,-0.508094151139108,-0.327414842325367,-0.638518287964922,-0.721080356230804,-0.578690702265007,-0.595442426260983,-0.55595621969904,-0.559545874841035,-0.396814841737267,-0.52125621999309,0.541281702037391,-0.328611394039365,-0.589459667690992,-0.56313552998303,-0.47219759971916,-0.291518290905418,-0.398011393451266,-0.179042429789579,-0.436301048299211,-0.462625186007173
23,NaN,NaN,0.75,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.477582082432152,-0.350149324891334,2.82669547577412,-0.298099325332409,-0.272971739338445,-0.655270011960898,-0.734242425084785,-0.703730356377829,-0.511683806281103,-0.513478633852101,-0.560144150698034,-0.608604495114965,-0.150923464510619,-0.391430359024275,0.845205837392956,-0.131180361229647,-0.416557945018239,-0.328611394039365,-0.371687255743303,-0.0898993270967064,-0.113232085519673,-0.12938553365865,0.0124058444501472,0.398293772214595
24,NaN,NaN,0.75,NaN,NaN,-7,-0.121869343405147,0.992546151641322,NaN,1,NaN,-0.594758682424413,-0.479205974044007,2.61182897513186,-0.170324695873306,-0.243656222345487,-0.579203510142435,-0.725866563086797,-0.741421735368775,-0.530315825827648,-0.576981342673581,-0.472539471637445,-0.608091687237537,-0.0347724802732138,-0.432540457198074,0.949647708429093,-0.152547356122474,-0.394763610227556,-0.470317304168591,-0.479205974044007,-0.179213365748722,-0.132547848902788,-0.0281059778666519,-0.194768538030699,0.180777764205621
25,NaN,NaN,0.75,NaN,NaN,-4.5,-0.0784590957278449,0.996917333733128,NaN,1,NaN,-0.601425184830975,-0.475255454099378,2.50442421413725,-0.231557755015059,-0.226372697587734,-0.513279208566434,-0.710311390804819,-0.677472693765088,-0.476983806575153,-0.553031315509266,-0.475255454099378,-0.62907882444338,-0.0984746143803608,-0.421676527350343,1.03186790477669,-0.131313311420092,-0.440688404583871,-0.399207945165264,-0.381924420407511,-0.177978828266025,-0.228101050063509,-0.141683426274743,-0.0863761470499338,0.041521936157439
26,NaN,NaN,0.75,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.599630357259977,-0.406686393377753,2.00735668961379,-0.333547169859608,-0.212845015710031,-0.574951478158763,-0.714499321803813,-0.720781218302304,-0.536811392275067,-0.549375185272049,-0.56283639205453,-0.560144150698034,-0.0890019133112077,-0.420596307052984,0.91969118158935,-0.152718292081617,-0.430467858693469,-0.381558807383789,-0.431365272478968,-0.209704067460785,-0.0872070857402103,0.0447127407281011,-0.126244585409404,-0.0813738961344686
27,NaN,NaN,0.75,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.603881264664971,-0.397570558609266,2.16412070824907,-0.299327365249407,-0.277222646743438,-0.522830630143087,-0.731597416032789,-0.734053495866785,-0.547391428483052,-0.500725911637119,-0.581776546159003,-0.57686438649101,-0.0291585835097933,-0.365641520767312,1.03186790477669,-0.0438950625137722,-0.419675277115235,-0.397570558609266,-0.400026638443263,-0.17161121388159,-0.078280180189723,-0.0709119406877335,0.0936454081900312,0.022419093004133
28,NaN,NaN,0.75,NaN,NaN,0,0,1,NaN,1,NaN,-0.628646736324436,-0.43031828972922,1.88934677682071,-0.342172313464679,-0.366801336244477,-0.402448606057343,-0.705126333377493,-0.731051620514123,-0.564481650661278,-0.517168001636929,-0.552815271449794,-0.595591995225233,-0.0414389826797757,-0.408281795663084,1.17769764492023,-0.0647717411027424,-0.462724898650007,-0.391430359024275,-0.43939214022704,-0.204768291640542,-0.0310688678251239,-0.173657947076587,-0.223564124814599,-0.0297726034682924
29,NaN,NaN,0.75,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.648090701676908,-0.389485962489028,1.78240496738212,-0.362264410995567,-0.3389316525726,-0.346709238713589,-0.659757080888391,-0.729755356157291,-0.453651048152186,-0.615035960577705,-0.529482513026828,-0.558648461055536,0.0305036891243714,-0.366153204066061,1.24186273058339,-0.0725493272437312,-0.4789282031104,-0.432262686264467,-0.424485100123478,-0.152269585188867,-0.195046308964306,0.026614896053877,-0.214490274316778,-0.152269585188867
30,NaN,NaN,0.75,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.636424322465425,-0.399207945165264,1.50921725417988,-0.304418614071962,-0.387055466819969,-0.301988118402903,-0.681631541909923,-0.724408265685362,-0.492052879723319,-0.558162361921724,-0.535801801766381,-0.482816996180895,-0.088104499525709,-0.423512901855854,1.07610292595356,-0.0603968488984361,-0.480872599645647,-0.453651048152186,-0.382194475481851,-0.0623412454336833,-0.0346335948064105,0.0567530423502089,-0.212545877781531,-0.0210228190596799
31,NaN,NaN,0.75,NaN,NaN,4.5,0.0784590957278449,0.996917333733128,NaN,1,NaN,-0.635128058108593,-0.471798749147827,1.56074376236393,-0.298099325332409,-0.316247026328049,-0.396615416451601,-0.609202770971964,-0.741421735368775,-0.419948174874568,-0.583277483835334,-0.466613691720501,-0.554759667985042,-0.0336613965387869,-0.44846599072486,1.22630755830141,-0.103659671807687,-0.443280933297534,-0.396615416451601,-0.443280933297534,-0.0984746143803608,-0.256618865913801,0.119297797567328,-0.212545877781531,-0.19439817678589
32,NaN,NaN,0.75,NaN,NaN,7,0.121869343405147,0.992546151641322,NaN,1,NaN,-0.631620519260697,-0.472408755903983,1.4738177996117,-0.27202153650674,-0.304961901339164,-0.164965350801364,-0.604170215233677,-0.733186644160669,-0.381822752614818,-0.560249728790446,-0.499859059931002,-0.530054394360724,0.0107165949715614,-0.420253178252646,1.32009609706039,-0.11829983395543,-0.521819303152618,-0.494368999125599,-0.409273056641838,-0.0139886786527561,-0.293981779728356,0.260514361617439,-0.321432083755375,-0.310451962144567
33,NaN,NaN,0.75,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.698345873664836,-0.429121738015221,0.873923078528915,-0.357328635175324,-0.391430359024275,-0.120411395803663,-0.587066564262995,-0.710909666661818,-0.497325185713124,-0.522452771707088,-0.463223461864173,-0.468607944577165,-0.224511394921514,-0.411173462305247,1.18263342074047,-0.12220622337466,-0.513478633852101,-0.473992427290157,-0.337585531894352,-0.0665665686737398,-0.226306222492511,0.102147223000019,-0.283740704764429,-0.323226911326373
34,NaN,NaN,1,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.389635531453278,-0.219725188065521,4.01606787948842,-0.15032518865362,-0.116821740661668,-0.626552770824939,-0.731849321656788,-0.691166563380846,-0.435104496585213,-0.437497600013209,-0.49971828914112,-0.564332081697028,0.0459092924420993,-0.274766566909442,1.3740816949802,0.0722334301500617,-0.308270014901394,-0.191007946929562,-0.24844242920148,0.127274808993983,0.0961644644300275,0.0746265335780583,0.263681704389788,0.778198941409052
35,NaN,NaN,1,NaN,NaN,-7,-0.121869343405147,0.992546151641322,NaN,1,NaN,-0.545870998109626,-0.391800720269084,3.7295792119654,0.0200409839585173,-0.0777343846710572,-0.525130768400322,-0.720681505659471,-0.741421735368775,-0.459947189313939,-0.52216787844185,-0.382912050393668,-0.563648337860457,0.200777271425306,-0.329580031141173,1.51333752302838,0.0437441036262929,-0.27921090184715,-0.379949160435196,-0.391800720269084,0.00818942412462948,0.0704101132525405,0.209665941300722,-0.0125508055846742,0.488177597397086
36,NaN,NaN,1,NaN,NaN,-4.5,-0.0784590957278449,0.996917333733128,NaN,1,NaN,-0.554759667985042,-0.386533360342912,3.58637286397259,-0.0616030948971543,-0.0546896849940531,-0.437231699632321,-0.699941275950167,-0.65615634656386,-0.388837830310612,-0.49023450888943,-0.386533360342912,-0.591631187468248,0.115841092615777,-0.315094791344199,1.62296445149184,0.0720561632294694,-0.340443960988904,-0.285136681764094,-0.26209198208709,0.00983547410155837,-0.0569941549617535,0.0582293434232669,0.13197238238968,0.30250315999951
37,NaN,NaN,1,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.552366564557045,-0.295107946047413,2.92361616460798,-0.197588981356552,-0.0366527758237826,-0.519461392422092,-0.705525183948826,-0.713901045946814,-0.468607944577165,-0.485359668573141,-0.503307944283115,-0.49971828914112,0.128471360707981,-0.313654497614386,1.47339548724206,0.0435161890141028,-0.326816566468368,-0.261604498055461,-0.328013118182366,-0.0324648448247885,0.130864464135978,0.306757566093726,0.0788144645770523,0.138642050276967
38,NaN,NaN,1,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.558034441097037,-0.28295349968943,3.13263485612169,-0.151962575209618,-0.12248961720166,-0.449966928401192,-0.728322642920793,-0.731597416032789,-0.482714659521145,-0.420493970393234,-0.528561483089079,-0.522011936865089,0.208262467109867,-0.240381449233491,1.62296445149184,0.188613828437895,-0.312426457697388,-0.28295349968943,-0.286228272801426,0.0183256266141388,0.142767004869961,0.152591324205947,0.372001122709633,0.277032702461769
39,NaN,NaN,1,NaN,NaN,0,0,1,NaN,1,NaN,-0.591055069976323,-0.326617141182701,2.76626961421721,-0.20908917282998,-0.241927869869711,-0.289457562953532,-0.693027866047066,-0.727594915562572,-0.505501622425445,-0.442416757059647,-0.489946450143468,-0.546982081844053,0.191888601549891,-0.297235149094521,1.81740410501657,0.160778256985935,-0.369825953077084,-0.274766566909442,-0.338715608513128,-0.025883810397798,0.205715421356093,0.0155966490208093,-0.05094492129654,0.207443773831868
40,NaN,NaN,1,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.616980357112953,-0.272174038195779,2.62368053496575,-0.235878636204498,-0.204768291640542,-0.215138406495194,-0.63253552939493,-0.725866563086797,-0.357727485746657,-0.572907368980682,-0.458836105579512,-0.497724036284457,0.28781216395542,-0.241063693631824,1.90295755256744,0.150408142131283,-0.391430359024275,-0.329209669896364,-0.318839555041712,0.0441144648711019,-0.0129211668294831,0.282627106528094,-0.0388464539661128,0.0441144648711019
41,NaN,NaN,1,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.601425184830975,-0.285136681764094,2.2594302506961,-0.158750906973025,-0.2689333773037,-0.155510246080946,-0.661701477423639,-0.718737109124224,-0.4089299278415,-0.497075904106041,-0.467261823898917,-0.396615416451601,0.12966791242198,-0.317543290684881,1.68194447972768,0.166611446591677,-0.394022887737938,-0.357727485746657,-0.262452055519543,0.164018917878014,0.200962452047711,0.32281130158987,-0.0362539252524498,0.219110153043352
42,NaN,NaN,1,NaN,NaN,4.5,0.0784590957278449,0.996917333733128,NaN,1,NaN,-0.5996968323552,-0.381924420407511,2.32813226160817,-0.15032518865362,-0.174522123314474,-0.281679976812543,-0.565129782839693,-0.741421735368775,-0.312790321376499,-0.530562733324187,-0.37501101050441,-0.492538978857131,0.202258716404542,-0.350814075843556,1.88221732285814,0.108927682712676,-0.343900665940454,-0.281679976812543,-0.343900665940454,0.115841092615777,-0.0950179094288102,0.406204308546028,-0.0362539252524498,-0.0120569905915956
43,NaN,NaN,1,NaN,NaN,7,0.121869343405147,0.992546151641322,NaN,1,NaN,-0.595020113891337,-0.382737762749052,2.21223097793853,-0.115554803552729,-0.15947528999596,0.0271867773877732,-0.558419708521978,-0.730441613757967,-0.261956425030166,-0.499859059931002,-0.419338168118412,-0.459598614024707,0.261429371751673,-0.313196992547269,2.00726870787012,0.0894074665156842,-0.448618492413899,-0.41201808704454,-0.298556830399526,0.22848900691925,-0.144835127848216,0.594493060612844,-0.181435533217576,-0.166795371069832
44,NaN,NaN,1,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.683987253096857,-0.32502173889737,1.41237134982814,-0.229297601777507,-0.274766566909442,0.0865920507180412,-0.535614840561069,-0.700738977092833,-0.41595966916124,-0.449463117153192,-0.370490704029305,-0.377670014313295,-0.0522079481057603,-0.301090704617404,1.82398513944356,0.0841989472900447,-0.437497600013209,-0.384849324597285,-0.202973464069545,0.158385153557939,-0.0546010515337569,0.383336875789617,-0.131180361229647,-0.183828636645572
45,NaN,NaN,1.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.301688980474404,-0.0893010512397072,5.20544028320272,-0.00255105197483134,0.0393282580151088,-0.59783552968898,-0.729456218228792,-0.678602770383865,-0.358525186889322,-0.361516566174318,-0.439292427584207,-0.520059668279091,0.242742049394818,-0.158102774794609,1.90295755256744,0.275647221529771,-0.199982084784549,-0.0534044998197586,-0.125197602659656,0.344448945084672,0.305561014379728,0.278638600814767,0.514957564329429,1.15810411060351
46,NaN,NaN,1.25,NaN,NaN,-7,-0.121869343405147,0.992546151641322,NaN,1,NaN,-0.496983313794839,-0.304395466494162,4.84732944879895,0.21040666379034,0.0881874530033721,-0.471058026658209,-0.715496448232145,-0.741421735368775,-0.38957855280023,-0.467354414210119,-0.293284629149892,-0.519204988483378,0.436327023123827,-0.226619605084273,2.07702733762767,0.24003556337506,-0.163658193466744,-0.289581016701802,-0.304395466494162,0.195592213997981,0.273368075407869,0.447437860468097,0.169666926861351,0.795577430588551
47,NaN,NaN,1.25,NaN,NaN,-4.5,-0.0784590957278449,0.996917333733128,NaN,1,NaN,-0.508094151139108,-0.297811266586446,4.66832151380793,0.108351565220751,0.116993327599627,-0.361184190698207,-0.689571161095515,-0.634839999362631,-0.300691854046072,-0.427437702269594,-0.297811266586446,-0.554183550493117,0.330156799611915,-0.208513055338055,2.214060998207,0.27542563787903,-0.240199517393936,-0.171065418362924,-0.142259543766669,0.197649776469142,0.114112740140002,0.258142113121277,0.350320911829294,0.563484383841581
