Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18,Unit_19,Unit_20,Unit_21,Unit_22,Unit_23,Unit_24,Unit_25,Unit_26,Unit_27,Unit_28,Unit_29,Unit_30,Unit_31,Unit_32,Unit_33
33,NaN,NaN,0.75,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.567899253186172,-0.577397830524537,-0.643887871893094,0.0257618304616545,-0.47291347980252,-0.477662768471702,-0.719876490600015,-0.596394985201268,0.647918646124577,-0.0264803448993541,-0.316186953719493,-0.149961850298102,-0.301939087711946,-0.297189799042763,-0.349431974403772,-0.643887871893094,-0.719876490600015,-0.368429129080502,-0.510907789155981,-0.596394985201268,-0.596394985201268,-0.738873645276746,0.45319781068809,-0.696130047254102,-0.677132892577372,-0.297189799042763,1.18458826574221,1.53603562726173,0.0115139644541068,0.69066224414722,0.372459903311985,-0.47291347980252,-0.411172727103146
34,NaN,NaN,1,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.625719958095109,-0.53857428029233,-0.646224823460469,-0.410418871758831,0.168843574812585,0.83525169918678,-0.302768328590692,0.76861088674936,0.81987305016276,-0.107972107619773,0.235484387250004,-0.466807251513571,-0.277137246883992,-0.169486703715853,-0.010573997134314,-0.364282924686771,-0.692360770532529,-0.451428602489551,-0.220748867129252,-0.49243833322027,-0.307894544932032,-0.717991852239229,0.604571963826481,-0.717991852239229,-0.61034130907109,-0.297642112249352,4.26469043154321,1.98352415964693,0.563562233095762,1.35812576600346,1.11719359796048,-0.461681035172231,-0.287389679566672
35,NaN,NaN,1,NaN,NaN,-7,-0.121869343405147,0.992546151641322,NaN,1,NaN,-0.461040258129563,-0.555234483401685,-0.535050006557659,-0.387030509701467,0.124309570347194,0.332882497735463,-0.205370218105233,0.292513544047411,1.09989261780846,-0.104447833885102,-0.0640788801970498,-0.353389714961424,-0.265923648637311,-0.131360469677137,0.0772124577111329,-0.461040258129563,-0.730166616049911,-0.191913900209215,-0.27265180758532,-0.548506324453676,-0.461040258129563,-0.73689477499792,0.595280696707803,-0.662885026569824,-0.568690801297702,-0.434127622337528,3.60276774646769,2.16966989054184,0.35306697457949,1.40938792941686,1.03261102832837,-0.447583940233546,-0.144816787573154
36,NaN,NaN,1,NaN,NaN,-4.5,-0.0784590957278449,0.996917333733128,NaN,1,NaN,-0.557681086655506,-0.577253912686077,-0.52832184760965,-0.264088696196945,-0.293447935242801,0.117581411399185,-0.508749021579079,-0.0292147838300956,0.910280865637301,-0.195583805089947,-0.0977196749370933,-0.283661522227516,-0.391312065395655,0.0980085853686143,-0.215156631120518,-0.391312065395655,-0.694690868869502,0.1077949983839,-0.264088696196945,-0.645758803793075,-0.547894673640221,-0.743622933945928,0.411173801857746,-0.704477281884787,-0.616399564747219,-0.459816956502652,2.82841781663324,2.05529118842569,0.23501836758261,1.27237814720286,0.851562387545589,-0.440244130472082,0.0295036942616166
37,NaN,NaN,1,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.513774476911253,-0.611241860590514,-0.585056593333399,-0.256286015549623,-0.155909157730682,0.0957603553515893,-0.42358077858119,-0.122450205124369,0.87113521357616,-0.000252291257832171,-0.122450205124369,-0.215553377594111,-0.257740752619462,-0.0817175671688565,-0.134088101683086,-0.551597640727086,-0.714528192549134,-0.170456528429079,-0.292654442295616,-0.560326063146124,-0.4788607872351,-0.73634924859673,0.476901467649596,-0.691252399431699,-0.606877649380995,-0.449766045838305,2.53244494733312,1.93018380041948,0.338701446014822,1.08207208870292,0.833312049760327,-0.467222890676382,-0.139907049962445
38,NaN,NaN,1,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.560617010560092,-0.58214711919372,-0.625207336460975,-0.313020761273372,-0.243047908214081,0.0906687756071503,-0.641354917936196,-0.130014837887535,1.22099947887261,-0.345315924223813,-0.194605163788419,-0.119249783570721,-0.264578016847709,-0.194605163788419,-0.199987690946826,-0.560617010560092,-0.684415135203452,-0.113867256412314,-0.463731521708767,-0.614442282144162,-0.436818885916732,-0.738240406787522,0.806544887675276,-0.716710298153894,-0.58214711919372,-0.431436358758325,2.69042939311771,2.20061942170268,0.349030079210684,1.18332178876376,0.768867197566427,-0.485261630342394,-0.183840109471605
39,NaN,NaN,1,NaN,NaN,0,0,1,NaN,1,NaN,-0.612904417241759,-0.600821193008601,-0.624987641474918,-0.133969347636569,-0.341581109460837,0.0813317386997097,-0.601919667938888,-0.284460413085906,1.05458052693411,-0.230635141501837,-0.120787648473123,0.00114306878874879,-0.272377188852748,-0.196582418662935,-0.34817195904256,-0.650252564871522,-0.710668686037314,-0.163628170754321,-0.472299626165006,-0.610707467381185,-0.58214711919372,-0.741425984085354,0.486668987975662,-0.702979361525304,-0.590934918636017,-0.395406381044907,2.03991253940167,1.87623977478889,0.283451125872542,0.799734343107496,0.719545673196535,-0.510746248725056,-0.296543637319065
40,NaN,NaN,1,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.387548060389776,-0.602849146726054,-0.553164280648451,-0.0645964308853582,-0.437232926467378,0.366005741787199,-0.478636981532047,-0.255055084182835,1.12784035497711,-0.0149115648077555,-0.106000485950027,-0.122562107975895,-0.329582383299239,-0.0894388639241596,-0.230212651144034,-0.470356170519114,-0.710499689894193,-0.255055084182835,-0.437232926467378,-0.553164280648451,-0.503479414570849,-0.743622933945928,0.597868450149345,-0.685657256855392,-0.635972390777789,-0.370986438363908,2.07185281045156,1.75718199196007,0.448813851916536,1.0284706228219,0.887696835602027,-0.470356170519114,-0.346144005325107
41,NaN,NaN,1,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.429642183038856,-0.57189468651104,-0.547545158889675,-0.0836225799984084,-0.382224681881461,0.0522221530471006,-0.60777820090042,-0.252787719262627,1.26713542594467,0.304688307858094,-0.150263392435828,-0.0720885932303935,-0.225875083470592,-0.159234271033173,-0.131040081155803,-0.50269076590295,-0.707739419556549,-0.138729405667813,-0.401447993161486,-0.47962279236692,-0.496282995476275,-0.732088947177914,0.422591283708913,-0.696205432788534,-0.615467525412429,-0.280981909139997,2.06682517519371,2.13090287946045,0.229076616823329,1.14923245009385,0.942902242354919,-0.421952858526846,-0.164360487374513
42,NaN,NaN,1,NaN,NaN,4.5,0.0784590957278449,0.996917333733128,NaN,1,NaN,-0.490327538256189,-0.610642851208815,-0.610642851208815,0.0732547171534807,-0.40167414976478,-0.0217310562301715,-0.661301930346763,-0.389009379980294,0.953456217175325,0.263226263920785,-0.0913872900448499,-0.135713984290554,-0.262361682135424,-0.135713984290554,-0.249696912350937,-0.490327538256189,-0.692963854807981,-0.180040678536259,-0.464997998687215,-0.553651387178624,-0.515657077825163,-0.743622933945928,0.61783981788642,-0.730958164161442,-0.585313311639841,-0.376344610195807,2.21993319562402,2.08695311288691,0.212567184782837,1.01678006609776,0.662166512132125,-0.420671304441511,-0.306688376381128
43,NaN,NaN,1,NaN,NaN,7,0.121869343405147,0.992546151641322,NaN,1,NaN,-0.584140647770908,-0.635972390777789,-0.544270076227152,0.133529640016687,-0.420671304441511,-0.121642017863346,-0.7157135338653,-0.424658361595886,1.00669515682493,0.169413154406067,0.0657496683923032,0.0737237827010543,-0.309033704118996,-0.113667903554595,-0.324981932736498,-0.584140647770908,-0.695778248093422,0.0697367255466787,-0.584140647770908,-0.548257133381528,-0.536295961918401,-0.699765305247798,0.456481269521105,-0.711726476710924,-0.612050047851536,-0.269163132575241,2.04333001696256,1.67652075876002,0.189348440177944,0.851199927804282,0.552170641226117,-0.548257133381528,-0.408710132978384
44,NaN,NaN,1,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.50932469293292,-0.521989462717407,-0.610642851208815,0.282223418597516,-0.38267699508805,-0.389009379980294,-0.711961009484711,-0.547319002286381,1.11176583948141,0.212567184782837,-0.173708293644015,0.0479251775845067,-0.154711138967285,-0.148378754075041,-0.218034987889719,-0.610642851208815,-0.711961009484711,-0.243364527458693,-0.433336074225998,-0.547319002286381,-0.547319002286381,-0.737290549053685,0.852138058899429,-0.680299085023494,-0.65496954545452,-0.148378754075041,1.82732533230493,2.29592181433094,0.263226263920785,1.1687573035116,0.74448751573129,-0.38267699508805,-0.300355991488885
45,NaN,NaN,1.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.596244214132405,-0.48731211687893,-0.621875295839104,-0.327117856212057,0.396960202002213,1.22997035746996,-0.192554677251883,1.14666934192318,1.21074704618993,0.0509405989617656,0.480261217548987,-0.397603330905481,-0.160515825118508,-0.0259526461583339,0.17268823706859,-0.269447922371982,-0.679545229679179,-0.378380019625456,-0.0900303504250834,-0.429642183038856,-0.198962447678558,-0.711584081812554,0.941620688269584,-0.711584081812554,-0.57702090285238,-0.186146906825208,5.5167687729155,2.66531093304515,0.890358524856184,1.8835629409908,1.58239773093708,-0.391195560478806,-0.173331365971858
46,NaN,NaN,1.25,NaN,NaN,-7,-0.121869343405147,0.992546151641322,NaN,1,NaN,-0.390394589175472,-0.508137370765624,-0.482906774710591,-0.297882403640352,0.341292696420474,0.602008855655812,-0.0708070391450585,0.551547663545746,1.56077150574705,0.0553459411301046,0.10580713324017,-0.255831410215298,-0.146498827310156,0.0217051463900611,0.282421305625398,-0.390394589175472,-0.726802536575907,-0.0539866417750368,-0.154909025995167,-0.499727172080613,-0.390394589175472,-0.735212735260918,0.930006604371236,-0.642700549725798,-0.524957768135646,-0.356753794435428,4.6893654165711,2.89799309666378,0.627239451710844,1.94764064525755,1.47666951889694,-0.37357419180545,0.00488474902003935
47,NaN,NaN,1.25,NaN,NaN,-4.5,-0.0784590957278449,0.996917333733128,NaN,1,NaN,-0.511195624832901,-0.535661657371114,-0.474496576025581,-0.144205136759699,-0.180904185567019,0.332882497735463,-0.450030543487367,0.149387253698863,1.32375681553311,-0.0585740228759518,0.0637561398151155,-0.168671169297912,-0.303234348258086,0.30841646519725,-0.0830400554141652,-0.303234348258086,-0.682457852600395,0.320649481466357,-0.144205136759699,-0.621292771254861,-0.498962608563794,-0.743622933945928,0.699872985808665,-0.694690868869502,-0.584593722447541,-0.388865462141833,3.72142800427803,2.7550197190186,0.479678692964744,1.77637841749006,1.25035871791847,-0.36439942960362,0.222785351313503
48,NaN,NaN,1.25,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.456312362652584,-0.578146592251661,-0.545415008180267,-0.134451785950546,-0.00898071367687044,0.305606177675969,-0.343570239740006,0.0328429770810214,1.27482475045668,0.185590369414192,0.0328429770810214,-0.0835359885061561,-0.136270207287846,0.0837587745254116,0.0182956063826243,-0.503591317422375,-0.707254507199936,-0.027164927049867,-0.179912319383037,-0.514501845446173,-0.412670250557392,-0.73453082725943,0.782032568048477,-0.678159765803141,-0.572691328239762,-0.376301823811399,3.35146191765288,2.59863548401083,0.60928254100501,1.53849584436513,1.22754579568689,-0.398122879858995,0.0110219210334257
49,NaN,NaN,1.25,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.514865529713633,-0.541778165505667,-0.595603437089737,-0.205370218105233,-0.117904151781119,0.29924170299542,-0.615787913933763,0.0233871861270633,1.71215508207725,-0.245739171793285,-0.0573507212490411,0.0368435040230807,-0.144816787573154,-0.0573507212490411,-0.0640788801970498,-0.514865529713633,-0.669613185517833,0.0435716629710894,-0.393758668649476,-0.58214711919372,-0.360117873909433,-0.73689477499792,1.19408684308058,-0.709982139205885,-0.541778165505667,-0.353389714961424,3.54894247488362,2.93668001061483,0.622193332499838,1.66505796944119,1.14698973044452,-0.420671304441511,-0.0438944033530237
50,NaN,NaN,1.25,NaN,NaN,0,0,1,NaN,1,NaN,-0.580224788065717,-0.565120757774269,-0.595328818357165,0.0184440489407711,-0.241070653339564,0.287570406861119,-0.566493851437128,-0.169669782870901,1.50413139215412,-0.102388193390814,0.0349211728950782,0.187334569472418,-0.154565752579453,-0.0598222898421872,-0.249309215316718,-0.62690997260292,-0.702430124060161,-0.0186294799564196,-0.404468799219776,-0.577478600739999,-0.541778165505667,-0.740876746620211,0.79424196845606,-0.692818468420148,-0.552762914808539,-0.308352242819651,2.73579640773857,2.53120545197259,0.54021964082716,1.18557366237085,1.08533782498215,-0.452527077419838,-0.184773813162349
