Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18,Unit_19,Unit_20,Unit_21,Unit_22
43,NaN,NaN,1,NaN,NaN,7,0.121869343405147,0.992546151641322,NaN,1,NaN,4.17591538240185,-0.290809748971641,-0.216537057305337,-0.38580970342854,-0.304627924165371,0.0304628242826015,-0.365082440637944,0.177280935715992,-0.416900597614435,-0.112900743352356,-0.378900615831675,-0.040355323585269,-0.244173407692799,-0.416900597614435,-0.304627924165371,-0.377173343932458,-0.363355168738728,1.07718959520771,-0.0265371483915382,-0.159537084631198,-0.273537029979477,-0.301173380366939
44,NaN,NaN,1,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,4.36699483625266,-0.14075300272722,-0.264252943521189,-0.373718800134026,-0.241798408831377,0.0753718936622268,-0.365298349625346,0.114667329369399,-0.393366517987612,-0.160400720580806,-0.35407108228044,-0.224957507814017,-0.297934745555908,-0.379332433806479,-0.22215069097779,-0.317582463409494,-0.311968829737041,1.07459868735889,0.0557241758086407,-0.0116394282607971,-0.196889339451751,-0.295127928719681
45,NaN,NaN,1.25,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,3.3430824483297,-0.19638555181448,-0.256840068287052,-0.364794561988074,-0.249643102040317,0.236871816238956,-0.334567303751788,0.556417117593982,-0.407976359468483,0.0108870760914828,-0.340324876749176,-0.10138559735758,-0.216537057305337,-0.405097572969789,-0.226612810050766,-0.327370337505053,-0.39070364047632,0.958007834161784,-0.0596431931265184,0.0180840423382177,-0.249643102040317,-0.239567349294889
46,NaN,NaN,1.25,NaN,NaN,-7,-0.121869343405147,0.992546151641322,NaN,1,NaN,3.51425353744123,-0.243846626522677,-0.192261884667702,-0.363705291421001,-0.231709040203859,0.143038937389635,-0.35611929997174,0.285655576635742,-0.387980464058636,-0.0390248573926294,-0.343981713652922,-0.249915419682086,-0.207433867566224,-0.398600852087602,-0.298465764957356,-0.312120549566026,-0.378877274319523,1.04273752327199,-0.0693688231896735,0.023180272491311,-0.237777833363268,-0.265087402580608
47,NaN,NaN,1.25,NaN,NaN,-4.5,-0.0784590957278449,0.996917333733128,NaN,1,NaN,4.39527891360233,-0.212218877557296,-0.186309799069051,-0.363355168738728,-0.238127956045542,0.398803556790489,-0.337446090250482,0.461417163137082,-0.408696056093157,0.148349131404118,-0.37630970798285,-0.151764361084724,-0.225173416801419,-0.402218786471096,-0.27699157377791,-0.3288097307544,-0.363355168738728,0.93425784554756,-0.0783553053680289,-0.0027871597773133,-0.207900697809256,-0.235968866171521
48,NaN,NaN,1.25,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,4.37541528676134,-0.217784531454771,-0.192835048466091,-0.368313078819812,-0.241486540294018,0.239206831954563,-0.354175038459559,0.574361553435841,-0.416548745931261,0.0612338533019744,-0.370392202402202,-0.103848559139796,-0.229011798799678,-0.418627869513651,-0.261030301968485,-0.352511739593647,-0.38536189219541,1.09123167601801,-0.0339900067714902,-0.0389799033692264,-0.242734014443452,-0.286395609673643
49,NaN,NaN,1.25,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,4.79563586452784,-0.250619833173803,-0.136342290556006,-0.382941198310199,-0.244605225667603,0.218519552309782,-0.342843814935533,0.475142805907641,-0.417023974178664,0.0541202804736541,-0.388955805816398,0.0340715887863214,-0.288712347379735,-0.415019105009931,-0.250619833173803,-0.344848684104267,-0.384946067478932,1.01645748146562,-0.00803066375707727,-0.0200598787694769,-0.218541926474071,-0.246610094836336
50,NaN,NaN,1.25,NaN,NaN,0,0,1,NaN,1,NaN,4.71632459944608,-0.285518149043109,-0.168012427255318,-0.366392532459807,-0.235090592324462,0.329127164923796,-0.344033144103426,0.456623251721884,-0.409208382503941,0.0960186480168427,-0.383994604144618,-0.118060602203829,-0.21606132563818,-0.413489967508355,-0.238420713994561,-0.319770829078417,-0.37876155580589,1.06460832234859,-0.00245780708466617,-0.0933225555116621,-0.249838274006331,-0.256498517346529
51,NaN,NaN,1.25,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,4.33050621738172,-0.267791973445127,-0.206774216135854,-0.384946067478932,-0.218977767597708,0.105636701287626,-0.343453992508626,0.483946796605122,-0.392268198356045,0.0592632057325785,-0.384946067478932,0.042178233685982,-0.255588421983272,-0.387386777771303,-0.265351263152756,-0.3288097307544,-0.399590329233158,1.13805715496053,0.044618943978353,-0.0408059162546298,-0.228740608767192,-0.265351263152756
52,NaN,NaN,1.25,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,4.32544474439836,-0.290158482517838,-0.144756167723149,-0.385866335294088,-0.234942413608462,0.0719669027461486,-0.346294819242369,0.382097156453807,-0.404731825504791,-0.0154585396936956,-0.388627138739557,-0.0720550103258053,-0.239083618776666,-0.403811557689635,-0.233562011885728,-0.332490802015025,-0.362859639915182,1.12889448845311,0.0392973953081016,-0.013157870155805,-0.230341074532681,-0.268992322769244
53,NaN,NaN,1.25,NaN,NaN,4.5,0.0784590957278449,0.996917333733128,NaN,1,NaN,4.81819064267609,-0.260393570371378,-0.158646460058164,-0.379683285911007,-0.253376528280811,0.127298005132418,-0.363894941207233,0.29219849426073,-0.407751454273273,0.0343221974324131,-0.360386420161949,0.016779592205997,-0.207765754692129,-0.391963109569498,-0.206011494169488,-0.346352335980817,-0.355123638594025,1.27283012641739,0.0501105421361876,-0.0112885761562688,-0.221799838873262,-0.286707478211002
54,NaN,NaN,1.25,NaN,NaN,7,0.121869343405147,0.992546151641322,NaN,1,NaN,5.33016482905318,-0.253241585163685,-0.160400720580806,-0.371991528234809,-0.270514304155848,0.148349131404118,-0.346082449746564,0.331871770695856,-0.410855145967177,-0.0308553281395791,-0.363355168738728,0.0598264465692795,-0.194946158565133,-0.410855145967177,-0.270514304155848,-0.361196078864707,-0.343923359872544,1.45675759506051,0.077099165561443,-0.0891507547381311,-0.23165068642348,-0.266196124407808
