Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18
21,NaN,NaN,0.5,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.434876887032271,-0.457672137176449,-0.648079520733696,-0.823737036550593,-0.551534931887768,-0.754010389050756,-0.00981251669672634,-0.74060141837771,-0.758033080252669,-0.684283741550919,-0.648079520733696,0.546659766234665,-0.0768573700619542,-0.153288502898314,0.00225555690901471,-0.184129135446319,-0.374536519003566,-0.430854195830357
22,NaN,NaN,0.5,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.531633196467774,-0.381029283750514,-0.711736844665733,-0.839051492529808,-0.61236931462548,-0.794025580480318,-0.188504694297523,-0.739683962489554,-0.794025580480318,-0.738131344832676,-0.584422196801658,0.123571454735148,-0.0674005170609641,-0.0115062814133216,0.00246727749858912,-0.261477724170834,-0.483502049104526,-0.343766459985419
23,NaN,NaN,0.75,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.0988638572253643,-0.0468055004947168,-0.215995159869321,-0.895356715204271,-0.809460426598703,-0.809460426598703,-0.460669436503365,-0.897959633040804,-0.788637083906444,-0.788637083906444,-0.70794663097394,1.14012503296405,-0.0285850756389902,-0.606432835349178,-0.447654847320703,-0.468478190012962,-0.666299945589422,-0.648079520733696
24,NaN,NaN,0.75,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.15501251341342,-0.0981201664149266,-0.0117280839357329,-0.881970280616391,-0.806113817951733,-0.83772067739534,-0.386796149333208,-0.865113288913133,-0.82297080965499,-0.846149173246969,-0.686007752066025,1.81725551586768,-0.165548133227956,-0.0770489267858549,-0.232976100040985,-0.363617785741229,-0.519544958996359,-0.51111646314473
25,NaN,NaN,0.75,NaN,NaN,-4,-0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.0745365866762349,-0.254938815192825,-0.258342630825213,-0.845500827412228,-0.695732939587135,-0.728069188094825,0.126288535634686,-0.864221813390365,-0.726367280278631,-0.748492081889156,-0.614041364409811,1.56950636376741,0.0735293933326646,-0.0864499413895945,0.133096166899463,-0.0115659974770478,-0.2328140135823,-0.340034206002537
26,NaN,NaN,0.75,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.16366281178746,-0.277780209568063,-0.247504165258924,-0.855353977927037,-0.629448108851148,-0.694658050440064,0.0878612486269319,-0.855353977927037,-0.631777035336467,-0.794801889308758,-0.540948902409047,1.54809815492159,0.341714235526642,0.0622430572884291,0.125124072392027,-0.138044620448957,-0.096123943713225,-0.256819871200197
27,NaN,NaN,0.75,NaN,NaN,-1,-0.0174524064372835,0.999847695156391,NaN,1,NaN,0.0156645275820602,-0.325057417220028,-0.471081107849494,-0.851627695550527,-0.435681425272654,-0.705604004921061,0.117438614990476,-0.829502893940002,-0.825077933617897,-0.780828330396847,-0.612679838156855,1.72369921191461,0.00238964661574504,-0.0639847582158306,0.095313813379951,-0.0993844407926709,-0.360457099796868,-0.325057417220028
28,NaN,NaN,0.75,NaN,NaN,0,0,1,NaN,1,NaN,-0.230473890335033,-0.343863498588974,-0.122615482483722,-0.819546733215266,-0.58170511590212,-0.761469128987637,0.325411750129413,-0.802953132007372,-0.678501122948168,-0.672969922545537,-0.590001916506067,1.70821185078724,-0.0838970796653031,0.245209344291259,0.303286948518888,0.0737421318096889,-0.130912283087669,-0.260895492549505
29,NaN,NaN,0.75,NaN,NaN,1,0.0174524064372835,0.999847695156391,NaN,1,NaN,-0.0475491913051545,-0.404706703017919,-0.471081107849494,-0.815595875784815,-0.575383744013399,-0.704971867732189,0.243233915576034,-0.856684793061505,-0.796631760118651,-0.686007752066025,-0.641758148844974,1.57072201220755,0.0346286432482246,0.154734709133933,0.180020196688819,-0.031745761583351,-0.265636521466046,-0.41102807490664
30,NaN,NaN,0.75,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.188989887315298,-0.260895492549505,-0.462784307245547,-0.789125131000794,-0.592767516707383,-0.750406728182375,0.209256541674156,-0.81678113301395,-0.742109927578428,-0.656376321337643,-0.653610721136327,1.39846462823989,0.181600539660999,0.458160559792564,0.217553342278103,0.0128989273807446,-0.15580268489951,-0.377050701004762
