Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18,Unit_19,Unit_20,Unit_21,Unit_22,Unit_23,Unit_24,Unit_25,Unit_26,Unit_27
23,NaN,NaN,0.75,NaN,NaN,-18,-0.309016994374947,0.951056516295154,NaN,1,NaN,-0.741788111221566,-0.342112871735568,-0.244631106007276,0.613208432401695,-0.507831873473665,-0.605313639201957,1.02750593674694,-0.663802698638932,1.0811209078975,0.140421868619478,-0.736914022935151,-0.361609224881226,-0.712543581503078,-0.288497900585007,-0.69304722835742,-0.615061815774786,-0.463965078895933,-0.356735136594812,-0.200764311429544,-0.298246077157836,1.95358271116571,1.30045488078616,0.00882148488628388,-0.176393869997471,0.462111695522843,0.0234437497455278,-0.585817286056298
24,NaN,NaN,0.75,NaN,NaN,-9,-0.156434465040231,0.987688340595138,NaN,1,NaN,-0.664344264004089,-0.486710824232535,-0.278749724012178,0.31480591620009,-0.404392888728643,-0.616686511870257,0.462111695522843,-0.62968408063403,0.518434493499189,0.054854540924644,-0.703336970295406,-0.408725411649901,-0.737997153665466,-0.378397751201099,-0.724999584901693,-0.686006878610376,-0.551698668051396,-0.486710824232535,-0.378397751201099,-0.456383163783733,1.38927160067193,1.61456279257732,-0.196431788508287,-0.46071568670499,-0.00580077997296003,-0.200764311429544,-0.577693805578941
25,NaN,NaN,0.75,NaN,NaN,-3.6,-0.0627905195293134,0.998026728428272,NaN,1,NaN,-0.690339401531634,-0.408725411649901,-0.118446375925653,0.184830228562367,-0.556031190972653,-0.365400182437327,0.418786466310268,-0.660011741082832,0.28014573283003,-0.0317959175005045,-0.733664630744208,-0.512705961760079,-0.74666219950798,-0.374065228279841,-0.694671924452891,-0.62968408063403,-0.534368576366366,-0.426055503334931,-0.486710824232535,-0.543033622208881,1.137985271239,1.60156522381355,-0.296079815697208,-0.408725411649901,-0.0187983487367323,-0.0534585321067917,-0.608021466027743
26,NaN,NaN,0.75,NaN,NaN,-1.8,-0.0314107590781283,0.999506560365732,NaN,1,NaN,-0.66189544670077,-0.382165162436975,-0.119388228734622,0.236632133055662,-0.411833525919499,-0.25925337086652,0.368020599906839,-0.653418771420049,0.117958679125568,-0.00919145008524838,-0.704278823104375,-0.479646928165267,-0.738185524227259,-0.449978564682743,-0.708517160744736,-0.66613378434113,-0.449978564682743,-0.454216902323104,-0.335543448393009,-0.411833525919499,1.28350153022471,0.829999402706136,-0.212631656822554,-0.280445059068322,-0.038859813567772,-0.187201630980391,-0.594082044455001
27,NaN,NaN,0.75,NaN,NaN,-0.45,-0.00785390088871133,0.99996915764479,NaN,1,NaN,-0.693859576405155,-0.299870773253308,-0.0927220210806871,0.37437810636738,-0.299870773253308,-0.263315111105198,0.313452002787197,-0.681674355689119,0.0494388872730723,-0.0886602808420083,-0.706044797121192,-0.454216902323104,-0.738538719030623,-0.389229058504242,-0.701983056882513,-0.657303914257046,-0.535451707096681,-0.543575187574038,-0.470463863277819,-0.50295778518725,1.36138098436634,1.77974022895026,-0.295809033014629,-0.425784720652352,-0.0521046186938987,-0.29174729277595,-0.64105695330233
28,NaN,NaN,0.75,NaN,NaN,0,0,1,NaN,1,NaN,-0.667622929998554,-0.425235836836314,-0.167040889772189,0.338810435088138,-0.288234436353309,-0.114348043432572,0.217616888507018,-0.672892214632516,0.106961911193821,0.00157621851458641,-0.688700068534401,-0.467390113908008,-0.736123630240057,-0.456851544640085,-0.725585060972133,-0.693969353168363,-0.56223723731932,-0.377812275130659,-0.493736537077817,-0.541160098783473,1.24512739212956,1.22405025359371,-0.330388713425003,-0.414697267568391,-0.225003020745768,-0.151233035870304,-0.583314375855166
29,NaN,NaN,0.75,NaN,NaN,0.45,0.00785390088871133,0.99996915764479,NaN,1,NaN,-0.559656363212889,-0.492015954340197,0.0172765359953704,0.128684268256276,-0.2532850994954,-0.336840898691079,0.530547873911684,-0.647191009989315,0.343542037616593,-0.213496623687933,-0.722789114023501,-0.559656363212889,-0.73472565676574,-0.444269783371237,-0.690958333377528,-0.710852571281261,-0.579550601116622,-0.52384673498617,-0.460185173694224,-0.559656363212889,1.13533270618517,2.01067917394943,-0.233390861591667,-0.388565917240785,-0.137898519653748,-0.297052422883612,-0.643212162408568
30,NaN,NaN,0.75,NaN,NaN,1.8,0.0314107590781283,0.999506560365732,NaN,1,NaN,-0.669583594048401,-0.556232703666665,-0.284190566750501,0.132940709854284,-0.415677599593314,-0.252452317443615,0.305234063234521,-0.646913415972054,0.327904241310868,-0.0756249284481087,-0.692253772124748,-0.578902881743013,-0.719457985816364,-0.483688133822355,-0.705855878970556,-0.683185700894209,-0.538096561205588,-0.560766739281935,-0.456483920130739,-0.533562525590318,0.831182194605772,1.92841881350097,-0.311394780442118,-0.565300774897204,-0.0937610709091864,-0.00761439421906766,-0.583436917358282
31,NaN,NaN,0.75,NaN,NaN,3.6,0.0627905195293134,0.998026728428272,NaN,1,NaN,-0.638735958880228,-0.468142868855717,0.0331919263183569,0.336081698402693,-0.200068013102914,-0.360216628227965,0.440526447397292,-0.670069383578608,0.231636949408095,-0.106067739007775,-0.690958333377528,-0.509920768453557,-0.725773249709061,-0.419401985991571,-0.680513858478068,-0.673550875211761,-0.621328500714462,-0.447253919056797,-0.401994527825804,-0.558661651317703,0.84089798520992,1.69038194369932,-0.384587069660038,-0.464661377222564,-0.0921417724751616,-0.0712528226762418,-0.572587617850316
32,NaN,NaN,0.75,NaN,NaN,9,0.156434465040231,0.987688340595138,NaN,1,NaN,-0.677032366844915,-0.505278779609352,-0.0457218840331176,0.362773134256869,-0.356735136594812,-0.166413593982432,0.836255996365716,-0.681674355689119,1.0312195278223,-0.203549504736067,-0.686316344533323,-0.607402534181849,-0.74666219950798,-0.570266623428214,-0.723452255286958,-0.718810266442754,-0.584192589960827,-0.547056679207192,-0.495994801920943,-0.417080991569469,0.650576442597541,1.64860404410148,-0.115351716696183,-0.356735136594812,-0.0178699509678913,-0.273179337399133,-0.426364969257878
